Company;Report URL;Type of Report;Year Published;Industry;Geography
TotalEnergies;https://totalenergies.com/system/files/documents/2021-03/2020-universal-registration-document.pdf;Mainstream Annual Report/Financial Filings;2020;Oil and Gas;France
TotalEnergies;https://totalenergies.com/sites/g/files/nytnzq121/files/documents/2020-10/total-climate-report-2020.pdf;Climate/TCFD Report;2020;Oil and Gas;France
Toray Industries;https://toray.s3-ap-northeast-1.amazonaws.com/global/ir/pdf/lib/lib_a497.pdf;Mainstream Annual Report/Financial Filings;2020;Chemicals;Japan
Tokio Marine Holdings;https://www.tokiomarinehd.com/en/ir/download/k82ffv0000005vm5-att/sustainability_web_2020.pdf;Sustainability/ESG Report;2019;Insurance;Japan
Tokio Marine Holdings;https://www.tokiomarinehd.com/en/ir/download/k82ffv0000008ae6-att/Integrated_Report_2020_e.pdf;Mainstream Annual Report/Financial Filings;2019;Insurance;Japan
Tokio Marine Holdings;https://www.tokiomarinehd.com/en/ir/download/pqde2o0000001atk-att/sustainability_web_2019.pdf;Sustainability/ESG Report;2020;Insurance;Japan
Tokio Marine Holdings;https://www.tokiomarinehd.com/en/ir/download/k82ffv0000008ae6-att/Integrated_Report_2020_e.pdf;Mainstream Annual Report/Financial Filings;2020;Insurance;Japan
Tesco;https://www.tescoplc.com/media/757589/tesco_annual_report_2021.pdf;Mainstream Annual Report/Financial Filings;2021;Retail;United Kingdom
Telus;https://assets.ctfassets.net/rz9m1rynx8pv/RhDeVJUMvjqrFwVycTU5L/9465279e0154bccef0d00c926b3794bf/TELUS_2020_annual_report-acc.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;Canada
Telus;https://downloads.ctfassets.net/rz9m1rynx8pv/7tWCScT9rlQnDddyU1CFq2/4c8e6235bd505e3cbb41608d5c77ce40/TELUS_Sustainability__Report_2021.pdf;Sustainability/ESG Report;2020;IT and Communications Services;Canada
Telia;https://www.teliacompany.com/globalassets/telia-company/documents/reports/2020/annual/telia-company--annual-and-sustainability-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;Sweden
Telefónica;https://www.telefonica.com/documents/162467/141705152/Consolidated-Annual-Accounts-2019.pdf/2532d380-3cfd-5d90-d0d8-a475f7a4251f;Mainstream Annual Report/Financial Filings;2019;IT and Communications Services;Spain
Telefónica;https://www.telefonica.com/en/web/responsible-business/report-2020;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;Spain
Tech Mahindra;https://insights.techmahindra.com/investors/annual-report-20-21.pdf;Mainstream Annual Report/Financial Filings;2021;IT and Communications Services;India
TD Bank;https://www.td.com/document/PDF/ESG/2020-ESG-Report.pdf;Sustainability/ESG Report;2020;Banks;Canada
TD Bank;https://www.td.com/document/PDF/ar2020/ar2020-Complete-Report.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Canada
TD Bank;https://www.td.com/document/PDF/ESG/2020-TCFD-Report.pdf;Climate/TCFD Report;2020;Banks;Canada
TATA Steel;https://www.tatasteel.com/media/13915/tsl_ir21_final.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;India
Taiwan Semiconductor Manufacturing Company;https://investor.tsmc.com/sites/ir/annual-report/2020/2020Annual%20Report_E_%20.pdf;Mainstream Annual Report/Financial Filings;2020;Capital Goods;Taiwan
Symrise;https://cr2019.symrise.com/;Mainstream Annual Report/Financial Filings;2019;Chemicals;Germany
Symrise;https://symrise.com/corporatereport/2020/downloads/SYM_corporatereport_2020_EN.pdf;Mainstream Annual Report/Financial Filings;2020;Chemicals;Germany
Swiss RE;https://reports.swissre.com/2020/assets/pdfs/2020_financial_report_swissre_ar20.pdf;Mainstream Annual Report/Financial Filings;2020;Diversified Financials;Switzerland
Suzano;https://s1.q4cdn.com/987436133/files/doc_downloads/2020/05/Relat%C3%B3rio-Anual-2019-Ingl%C3%AAs.pdf;Sustainability/ESG Report;2019;Paper, Packaging and Forest Products;Brazil
Suzano;https://r2020.suzano.com.br/wp-content/uploads/2021/05/SuzanoReport2020.pdf;Sustainability/ESG Report;2020;Paper, Packaging and Forest Products;Brazil
Sunway Berhad;https://ir2.chartnexus.com/sunway/doc/annual-report/ar2020.pdf;Mainstream Annual Report/Financial Filings;2020;Consumer Goods and Apparel;Malaysia
Sun Life Financial;https://www.sunlife.com/content/dam/sunlife/regional/global-marketing/documents/com/Annual-Report-2019-EN.pdf;Mainstream Annual Report/Financial Filings;2019;Insurance;Canada
Sun Life Financial;https://www.sunlife.com/content/dam/sunlife/regional/global-marketing/documents/com/sustainability-report-2020-e.pdf;Sustainability/ESG Report;2020;Insurance;Canada
Sun Life Financial;https://www.sunlife.com/content/dam/sunlife/regional/global-marketing/documents/com/annual-report-2020-e.pdf;Mainstream Annual Report/Financial Filings;2020;Insurance;Canada
Storebrand;https://www.storebrand.no/en/investor-relations/annual-reports/_/attachment/inline/b28ec244-9627-495c-9379-3e14ed862cf2:6eeb60974de8dcd7b0dee43924bab5748629aa7a/2020-annual-report-storebrand-asa.pdf;Mainstream Annual Report/Financial Filings;2020;Diversified Financials;Norway
Standard Chartered;https://av.sc.com/corp-en/content/docs/SCB_AR2020.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;United Kingdom
Standard Chartered;https://av.sc.com/corp-en/content/docs/tcfd-climate-change-disclosure.pdf;Climate/TCFD Report;2020;Banks;United Kingdom
SSE;https://www.sse.com/investors/reports-and-results/?year=2018/19;Mainstream Annual Report/Financial Filings;2018;Electric and Gas Utilities;United Kingdom
SSE;https://www.sse.com/investors/reports-and-results/?year=2018/19;Sustainability/ESG Report;2019;Electric and Gas Utilities;United Kingdom
SSE;https://www.sse.com/investors/reports-and-results/?year=2018/19;Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;United Kingdom
SSE;https://www.sse.com/investors/reports-and-results/?year=2018/16;Sustainability/ESG Report;2020;Electric and Gas Utilities;United Kingdom
SSE;https://www.sse.com/media/jqcamklf/sse-32693-annual-report-2020-web-1.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;United Kingdom
SSE;https://www.sse.com/investors/reports-and-results/?year=2018/18;Sustainability/ESG Report;2021;Electric and Gas Utilities;United Kingdom
SSE;https://www.sse.com/investors/reports-and-results/?year=2018/17;Mainstream Annual Report/Financial Filings;2021;Electric and Gas Utilities;United Kingdom
SSAB;"https://www.ssab.co.uk/company/investors/reports-and-presentations#sort=%40customorder%20descending&#038;f:@z95xz95xsemantics=%5B075674ed2a914c48bd4e849ad5878c40%5D";Mainstream Annual Report/Financial Filings;2020;Construction Materials;Sweden
Sopra Steria;https://www.soprasteria.com/docs/librariesprovider2/sopra-steria-corporate/finance/rapports-financiers/sop2020_urd_en_mel_def_tr3.pdf?sfvrsn=fb2d11dc_35;Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;France
Solvay;https://www.solvay.com/sites/g/files/srpend221/files/2020-05/full_en_corr_web_April%2029.pdf;Mainstream Annual Report/Financial Filings;2019;Chemicals;Belgium
Solvay;https://www.solvay.com/sites/g/files/srpend221/files/2021-07/210525%20SOLVAY%20-%20MANAGEMENT%20REPORT%202019_UK_web.pdf;Mainstream Annual Report/Financial Filings;2020;Chemicals;Belgium
Société Générale;https://www.societegenerale.asia/fileadmin/user_upload/Societe_Generale_websites/Asia/Taiwan/pdf/1_Statutory_Public_Disclosure/11_Yearly_Reports/SG_Bank_Financial_reports/2020annualreport.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;France
Société Générale;https://www.societegenerale.com/sites/default/files/documents/2020-12/societe-generale-climate-disclosure-report.pdf;Climate/TCFD Report;2020;Banks;France
SK Innovation;http://eng.skinnovation.com/company/sr.asp;Sustainability/ESG Report;2019;Oil and Gas;South Korea
Signify;https://www.signify.com/static/2020/signify-annual-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Consumer Goods and Apparel;Netherlands
Sibanye Stillwater;https://www.sibanyestillwater.com/news-investors/reports/annual/2020/;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;South Africa
Schneider Electric;https://www.se.com/ww/en/assets/564/document/124836/annual-report-2019-en.pdf;Mainstream Annual Report/Financial Filings;2019;Capital Goods;France
Schneider Electric;https://annualreport.se.com/;Mainstream Annual Report/Financial Filings;2020;Capital Goods;France
Sasol;https://www.sasol.com/sites/default/files/financial_reports/Integrated%20Report%202020.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;South Africa
Sasol;https://www.sasol.com/sites/default/files/financial_reports/SASOL%20CCR%202020.pdf;Climate/TCFD Report;2020;Electric and Gas Utilities;South Africa
SAP;https://www.sap.com/docs/download/investors/2019/sap-2019-integrated-report.pdf;Mainstream Annual Report/Financial Filings;2019;IT and Communications Services;Germany
SAP;"https://www.sap.com/investors/en/reports.html?tab=reports&#038;sort=latest_desc&#038;tag=investor-relations:financial-reports/annual-report&#038;pdf-asset=82fad7fb-d17d-0010-87a3-c30de2ffd8ff&#038;page=1";Mainstream Annual Report/Financial Filings;2020;IT and Communications Services;Germany
Santander Group;https://www.santander.de/content/pdf/investor-relations/geschaeftsberichte/geschaeftsbericht-santander-2018-englisch.pdf;Mainstream Annual Report/Financial Filings;2018;Banks;Spain
Santander Group;https://www.santander.com/content/dam/santander-com/en/documentos/informe-anual/2019/ia-2019-annual-report-en.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;Spain
Santander Group;https://www.santander.com/content/dam/santander-com/en/documentos/informe-anual/2020/ia-2020-annual-report-en.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Spain
Santander Group;https://www.santander.com/content/dam/santander-com/en/documentos/informe-anual-de-sostenibilidad/2019/ias-2019-climate-finance-2019-20-en.pdf;Climate/TCFD Report;2020;Banks;Spain
Santander Group;https://www.santander.com/content/dam/santander-com/en/documentos/informe-anual-de-sostenibilidad/2020/ias-2020-climate-finance-2020-21-en.pdf;Climate/TCFD Report;2021;Banks;Spain
Saint-Gobain;https://www.saint-gobain.com/sites/saint-gobain.com/files/sgo2020_urd_en_mel_210326.pdf;Mainstream Annual Report/Financial Filings;2020;Capital Goods;France
