Company;Report URL;Type of Report;Year Published;Industry;Geography
Barclays;https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2017/Barclays-PLC-Annual-Report-2017.pdf;Mainstream Annual Report/Financial Filings;2017;Banks;United Kingdom
Barclays;https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/Barclays-ESG-2018.pdf;Sustainability/ESG Report;2018;Banks;United Kingdom
Barclays;https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2018/2018-barclays-plc-annual-report.pdf;Mainstream Annual Report/Financial Filings;2018;Banks;United Kingdom
Barclays;https://home.barclays/content/dam/home-barclays/documents/citizenship/ESG/Barclays-PLC-ESG-Report-2019.pdf;Sustainability/ESG Report;2019;Banks;United Kingdom
Barclays;https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2019/Barclays%20PLC%20Annual%20Report%202019.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;United Kingdom
Barclays;https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/BB-PLC-2020-AR.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;United Kingdom
Barclays;https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2020/Barclays-TCFD-Report-2020.pdf;Climate/TCFD Report;2020;Banks;United Kingdom
Banque de France;https://www.banque-france.fr/sites/default/files/media/2019/03/26/banque-de-france-responsible-investment-report-2018_0.pdf;Climate/TCFD Report;2018;Banks;France
Banque de France;https://www.banque-france.fr/sites/default/files/media/2021/03/30/rapport_ir_2020_angl.pdf;Climate/TCFD Report;2020;Banks;France
Bank of England;"https://www.bankofengland.co.uk/-/media/boe/files/annual-report/2020/climate-related-financial-disclosure-report-2019-20.pdf?la=en&#038;hash=5DA959C54540287A2E90C823807E089055E6721B";Climate/TCFD Report;2020;Banks;United Kingdom
Bank of England;https://www.bankofengland.co.uk/prudential-regulation/publication/2021/june/climate-related-financial-disclosure-2020-21;Climate/TCFD Report;2021;Banks;United Kingdom
Bank of America;https://d1io3yog0oux5.cloudfront.net/bankofamerica/files/pages/bankofamerica/db/809/content/BAC_2020_Annual_Report.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;United States of America
Bank of America;https://about.bankofamerica.com/assets/pdf/task-force-climate-financial-disclosures-report.pdf;Climate/TCFD Report;2020;Banks;United States of America
Banco Bradesco;https://api.mziq.com/mzfilemanager/v2/d/80f2e993-0a30-421a-9470-a4d5c8ad5e9f/d3918ac9-5a9c-7c60-9680-6bf558545b0d?origin=1;Sustainability/ESG Report;2019;Banks;Brazil
Banco Bradesco;https://api.mziq.com/mzfilemanager/v2/d/80f2e993-0a30-421a-9470-a4d5c8ad5e9f/8d3880f9-234e-01d6-c037-978e740d717e?origin=1;Mainstream Annual Report/Financial Filings;2020;Banks;Brazil
Banco Bilbao Vizcaya Argenta;https://shareholdersandinvestors.bbva.com/wp-content/uploads/2020/03/AnnualReport2019BBVAGroup_Eng-1.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;Spain
Ayala Corporation;https://drive.google.com/file/d/1X5n3seLxbpXYNci4uwsTEac7b8NXfRwu/view;Mainstream Annual Report/Financial Filings;2020;Diversified Financials;Philippines
AXA Investment Managers;https://realassets.axa-im.com/documents/23818/221263/AXA+IM+-TCFD+Report+Highlights+EN-+Updated+-+160720+FINAL.pdf/81815696-075e-d04e-12bb-8faa7dc4a639?t=1594975520369;Climate/TCFD Report;2020;Asset Managers;France
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com%2Fff4a79ff-c543-4fc0-a422-8258145fffcb_2015_climate_change_investment_risk_analysis_montreal_pledge_va.pdf;Climate/TCFD Report;2015;Insurance;France
AXA;https://axa-prod.s3.amazonaws.com/www-axa-com%2Fcb46e9f7-8b1d-4418-a8a7-a68fba088db8_axa_investor_climate_report.pdf;Climate/TCFD Report;2016;Insurance;France
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com%2Ff570ad25-6178-47a0-afb9-59a5b7d3d70a_changementclimatique_rapport_risqueinvestissement_vf_30.08.17-b.pdf;Climate/TCFD Report;2017;Insurance;France
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com%2Fcf61ff6c-ee1d-4dcb-92ba-ed243ae7f2fb_2018+tcfd+full+report+-+final+-+b.pdf;Climate/TCFD Report;2018;Insurance;France
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com%2F667045c2-cc3c-4f65-a888-18753c463d9c_axa2019_ra_en_climate_report_2.pdf;Climate/TCFD Report;2019;Insurance;France
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com%2Fe4fb6b8b-ed94-4cfa-b954-356f3a4835ac_axa-urd2019-en-accessible.pdf;Mainstream Annual Report/Financial Filings;2020;Insurance;France
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com%2F3800520b-ce0f-4aa7-908d-3ec367b21d39_2020_climate_report_axa.pdf;Climate/TCFD Report;2020;Insurance;France
AXA;https://www-axa-com.cdn.axa-contento-118412.eu/www-axa-com/db5d9f4b-4bb9-4029-ad51-b9e0e20301fb_2021_Climate_Report.pdf;Climate/TCFD Report;2021;Insurance;France
Aviva;https://www.aviva.com/sustainability/reporting/climate-related-financial-disclosure/;Climate/TCFD Report;2016;Insurance;United Kingdom
Aviva;https://www.aviva.com/sustainability/reporting/climate-related-financial-disclosure/;Climate/TCFD Report;2017;Insurance;United Kingdom
Aviva;https://www.aviva.com/sustainability/reporting/climate-related-financial-disclosure/;Climate/TCFD Report;2018;Insurance;United Kingdom
Aviva;https://www.aviva.com/sustainability/reporting/climate-related-financial-disclosure/;Climate/TCFD Report;2019;Insurance;United Kingdom
Aviva;https://www.aviva.com/sustainability/reporting/climate-related-financial-disclosure/;Climate/TCFD Report;2020;Insurance;United Kingdom
Australia and New Zealand Banking Group;https://www.anz.com.au/about-us/esg/reporting/;Sustainability/ESG Report;2020;Banks;Australia
Australia and New Zealand Banking Group;http://nzx-prod-s7fsd7f98s.s3-website-ap-southeast-2.amazonaws.com/attachments/ANB/362907/334679.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Australia
Australia and New Zealand Banking Group;https://www.anz.com.au/about-us/esg-priorities/environmental-sustainability/climate-change/;Climate/TCFD Report;2020;Banks;Australia
Aurizon;https://www.aurizon.com.au/sustainability;Climate/TCFD Report;2020;Rail Transportation;Australia
Aurizon;https://www.aurizon.com.au/sustainability;Sustainability/ESG Report;2020;Rail Transportation;Australia
Aurizon;https://www.aurizon.com.au/investors/documents-and-webcasts/2020;Mainstream Annual Report/Financial Filings;2020;Rail Transportation;Australia
ATP;https://www.atp.dk/en/dokument/responsibility-report-2018;Climate/TCFD Report;2018;Asset Owners;Denmark
ATP;https://www.atp.dk/en/dokument/climate-change-2019;Climate/TCFD Report;2019;Asset Owners;Denmark
ATP;https://www.atp.dk/en/dokument/climate-2020;Climate/TCFD Report;2020;Asset Owners;Denmark
AstraZeneca;https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2020/pdf/AstraZeneca_AR_2020.pdf;Mainstream Annual Report/Financial Filings;2020;Pharmaceutical;United Kingdom
ASML Holding;https://www.asml.com/-/media/asml/files/investors/financial-results/a-results/2019/2019-integrated-report-based-on-ifrs.pdf;Mainstream Annual Report/Financial Filings;2019;IT and Communications Services;Netherlands
ArcelorMittal;https://corporate-media.arcelormittal.com/media/ob3lpdom/car_2.pdf;Climate/TCFD Report;2021;Construction Materials;Luxembourg
ArcelorMittal;https://corporate-media.arcelormittal.com/media/hs4nmyya/am_climateactionreport_1.pdf;Climate/TCFD Report;2019;Construction Materials;Luxembourg
APG;https://apg.nl/media/z0pduvmd/en-apg-responsible-investment-report-2019-2020_1.pdf;Sustainability/ESG Report;2020;Asset Owners;Netherlands
AP2;https://ap2.se/app/uploads/2021/03/TCFD-Report-2020.pdf;Climate/TCFD Report;2020;Asset Owners;Sweden
Anglo American;https://www.angloamerican.com/~/media/Files/A/Anglo-American-Group/PLC/investors/annual-reporting/2021/aa-annual-report-full-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Metals and Mining;United Kingdom
Anglian Water;https://www.anglianwater.co.uk/siteassets/household/about-us/aws-air2019.pdf;Mainstream Annual Report/Financial Filings;2019;Water Utilities;United Kingdom
Anglian Water;https://www.anglianwater.co.uk/siteassets/household/about-us/air-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Water Utilities;United Kingdom
Amundi;https://about.amundi.com/Shareholders/Regulated-Information;Mainstream Annual Report/Financial Filings;2020;Asset Managers;France
American Electric Power;http://aepsustainability.com/performance/report/docs/AEPs-Climate-Impact-Analysis-2021.pdf;Climate/TCFD Report;2021;Electric and Gas Utilities;United States of America
Allianz Group;https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2019-web.pdf;Sustainability/ESG Report;2019;Diversified Financials;Germany
Allianz Group;https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/investor-relations/en/results-reports/annual-report/ar-2019/en-AR-Group-Annual-Report-Allianz-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Diversified Financials;Germany
Allianz Group;https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/sustainability/documents/Allianz_Group_Sustainability_Report_2020-web.pdf;Sustainability/ESG Report;2020;Diversified Financials;Germany
Alecta;https://www.alecta.se/globalassets/dokument/finansiella-rapporter/klimatredovisning/alecta-klimatredovisning-2019.pdf;Climate/TCFD Report;2019;Asset Owners;Sweden
Alecta;https://www.alecta.se/globalassets/dokument/finansiella-rapporter/klimatredovisning/alecta-klimatredovisning-2020.pdf;Climate/TCFD Report;2020;Asset Owners;Sweden
AkzoNobel;https://report.akzonobel.com/2019/ar/servicepages/downloads/files/AkzoNobel_Report_2019_interactive.pdf;Mainstream Annual Report/Financial Filings;2019;Chemicals;Netherlands
AkzoNobel;https://report.akzonobel.com/2020/ar/servicepages/downloads/files/akzonobel-ar20-entire.pdf;Mainstream Annual Report/Financial Filings;2020;Chemicals;Netherlands
Air Liquide;https://www.airliquide.com/sites/airliquide.com/files/2020/06/08/air-liquide-2019-universal-registration-document.pdf;Mainstream Annual Report/Financial Filings;2019;Chemicals;France
Air Liquide;https://www.airliquide.com/sites/airliquide.com/files/2021/03/04/air-liquide-2020-universal-registration-document.pdf;Mainstream Annual Report/Financial Filings;2020;Chemicals;France
Air France KLM;https://www.airfranceklm.com/en/system/files/afk_urd_2020_29042021.pdf;Mainstream Annual Report/Financial Filings;2020;Passenger Air Transportation;France
AIMCO;https://assets.ctfassets.net/lyt4cjmefjno/75aeFZ9V6TfdNEUYyhvrn7/4bf4579dcb549fb1653b9bdcf27d921c/AIMCo_s_Strategic_Response_to_Climate_Change_2020.pdf;Climate/TCFD Report;2019;Asset Managers;Canada
AIMCO;https://assets.ctfassets.net/lyt4cjmefjno/AEGMTeYYepLWNTYU7hcjT/1b19aad92e2249f3b0c99a310e7564f4/AIMCO-TCFD.pdf;Climate/TCFD Report;2020;Asset Managers;Canada
AGL Energy;"https://www.agl.com.au/-/media/aglmedia/documents/about-agl/sustainability/sustainability-report/2018-tcfd.pdf?la=en&#038;hash=7B41447FB56E6111DA5B672D8B68803E";Climate/TCFD Report;2018;Multi-Utilities;Australia
AGL Energy;"https://www.agl.com.au/-/media/aglmedia/documents/about-agl/investors/special-reports/fy19-carbon-scenario-analysis-070819.pdf?la=en&#038;hash=BC3236BEFEDF51D9866BEBC9C2CC9964";Climate/TCFD Report;2019;Multi-Utilities;Australia
AGL Energy;"https://www.agl.com.au/-/media/aglmedia/documents/about-agl/asx-and-media-releases/2020/2097212_annualreport.pdf?la=en&#038;hash=82E8FF1E819275718B654F3B19C7862F";Mainstream Annual Report/Financial Filings;2020;Multi-Utilities;Australia
AGL Energy;"https://www.agl.com.au/-/media/aglmedia/documents/about-agl/investors/results-centre/2020/pathways-to-2050_130820.pdf?la=en&#038;hash=9DC5D8FE10577CA5061ECF3A047892CB";Climate/TCFD Report;2020;Multi-Utilities;Australia
Aegon;https://www.aegon.com/contentassets/79a288251c844944933a1b189dc02d82/aegon-integrated-annual-report-2019.pdf;Mainstream Annual Report/Financial Filings;2019;Insurance;Netherlands
Aegon;https://www.aegon.com/contentassets/88a9aa9e0e484dec9791c3bb5945512b/aegon-integrated-annual-report-2020.pdf;Mainstream Annual Report/Financial Filings;2020;Insurance;Netherlands
ADBRI;https://wcsecure.weblink.com.au/pdf/ABC/02344551.pdf;Mainstream Annual Report/Financial Filings;2020;Construction Materials;Australia
Adani Transmission Limited;"https://www.adanitransmission.com/-/media/Project/Transmission/Investor/documents/Annual-Report/Adani-Transmission-Limited_Integrated-Report_2019-20.pdf?la=en&#038;hash=412517DCAE49DBA6CAC94A821AA60DA2";Mainstream Annual Report/Financial Filings;2019;Electric and Gas Utilities;India
Adani Power Limited;https://www.adanipower.com/-/media/Project/Power/Sustainability/documents/Adani-ESG_REPORT-2019-20.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;India
Adani Power Limited;https://reports.adani.com/Adani-Power-Limited-Annual-Report/56/index.html;Mainstream Annual Report/Financial Filings;2021;Electric and Gas Utilities;India
Adani Ports and SEZ Limited;"https://www.adaniports.com/-/media/Project/Ports/Sustainability/APSEZ_-Information-Memorandum-on-ESG.pdf?la=en&#038;hash=730352768A247E0656CBCD00BF75B4D7";Sustainability/ESG Report;2021;Maritime Transportation;India
Adani Ports and SEZ Limited;https://reports.adani.com/Adani-Ports-SEZ-Annual-Report-FY21/140/index.html;Mainstream Annual Report/Financial Filings;2021;Maritime Transportation;India
Acciona;https://mediacdn.acciona.com/media/jtdjkt5p/sustainability-report_2018.pdf;Sustainability/ESG Report;2018;Electric and Gas Utilities;Spain
Acciona;https://annualreport2018.acciona.com/static/pdf/en/Climate-change.pdf;Climate/TCFD Report;2018;Electric and Gas Utilities;Spain
Acciona;https://mediacdn.acciona.com/media/vxrnznlo/sustainability-report-2019.pdf#_ga=2.85941531.389091049.1626364574-737161753.1626364574;Sustainability/ESG Report;2019;Electric and Gas Utilities;Spain
Acciona;https://annualreport2020.acciona.com/pdfs/sust-report-acciona20.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;Spain
Acciona;https://annualreport2020.acciona.com/pdfs/int-report-acciona20.pdf;Mainstream Annual Report/Financial Filings;2020;Electric and Gas Utilities;Spain
Access Capital Partners;https://www.access-capital-partners.com/uploads/site/PDF/Access-Capital-Partners-SRI-Policy-2021-revue-reglementaire.pdf;Sustainability/ESG Report;2021;Asset Managers;France
AcBel Polytech;https://www.acbel.com.tw/en/csr-report-download;Sustainability/ESG Report;2019;Capital Goods;Taiwan
AcBel Polytech;https://www.acbel.com.tw/en/csr-report-download;Sustainability/ESG Report;2020;Capital Goods;Taiwan
AcBel Polytech;https://www.acbel.com.tw/en/annual-report;Mainstream Annual Report/Financial Filings;2020;Capital Goods;Taiwan
AC Energy Corporation;https://acenergy.ph/IR2020/pdf/ACEN_2020_Integrated_Report_for_web.pdf;Sustainability/ESG Report;2020;Electric and Gas Utilities;Philippines
ABP;https://www.abp.nl/images/jaarverslag-engels.pdf;Mainstream Annual Report/Financial Filings;2020;Asset Owners;Netherlands
Aboitiz Equity Ventures;https://aboitizpower.com/wp-content/uploads/1-AEV-Annual-Report-2019-Reduced-File-Size-Spread.pdf;Mainstream Annual Report/Financial Filings;2019;Diversified Financials;Philippines
Aboitiz Equity Ventures;https://s3-ap-southeast-1.amazonaws.com/aboitizcom-uploads/wp-content/uploads/2021/04/19132139/2020-AEV-Annual-and-Sustainability-Report.pdf;Mainstream Annual Report/Financial Filings;2020;Diversified Financials;Philippines
ABN AMRO;https://assets.ctfassets.net/1u811bvgvthc/35pBwfhVVMJuPmrxPkyPIR/9d937e1d7b216650d28a71588f9d9810/ABN_AMRO_Group_Annual-Report_2018.pdf;Mainstream Annual Report/Financial Filings;2018;Banks;Netherlands
ABN AMRO;https://assets.ctfassets.net/1u811bvgvthc/3xQYD4WZ5IkMON5qOg9MUL/06808331e445b105f51436335f8f31dd/ABN_AMRO_Bank_Annual_Report_2019.pdf;Mainstream Annual Report/Financial Filings;2019;Banks;Netherlands
ABN AMRO;https://assets.ctfassets.net/1u811bvgvthc/1IHlVdHZhHfAR8ODgWySms/a503e6cf0581925b8c2dec5e4f950b6c/ABN_AMRO_____Annual_Report_2020.pdf;Mainstream Annual Report/Financial Filings;2020;Banks;Netherlands
Aberdeen Standard Investments;https://www.aberdeenstandard.com/docs?documentId=GB-220720-121760-2;Sustainability/ESG Report;2019;Asset Managers;United Kingdom
Aberdeen Standard Investments;https://www.aberdeenstandard.com/docs?editionId=58173dc7-39ba-41dc-aa19-3350d15cf6e5;Climate/TCFD Report;2021;Asset Managers;United Kingdom
Abengoa;https://www.abengoa.com/export/sites/abengoa_corp/resources/pdf/gobierno_corporativo/informes_anuales/2018/Tomo1/2018_Tomo1_IA_EN.pdf;Mainstream Annual Report/Financial Filings;2018;Multi-Utilities;Spain
Abengoa;https://www.abengoa.com/export/sites/abengoa_corp/resources/pdf/gobierno_corporativo/informes_anuales/2019/Tomo1/2019_Tomo1_IA_EN.pdf;Mainstream Annual Report/Financial Filings;2019;Multi-Utilities;Spain
Abac Capital;https://www.abaccapital.com/wp-content/uploads/2021/05/Abac-Capital-Sustainability-Report-2020.pdf;Sustainability/ESG Report;2020;Asset Managers;Spain
A2A;https://a2a-be.s3.eu-west-1.amazonaws.com/a2a/2021-05/2020-integrated-report-.pdf?null;Sustainability/ESG Report;2020;Electric and Gas Utilities;Italy
3M;https://multimedia.3m.com/mws/media/1836747O/2020-sustainability-report.pdf;Sustainability/ESG Report;2020;Capital Goods;United States of America
3M;https://multimedia.3m.com/mws/media/2006066O/2021-sustainability-report.pdf;Sustainability/ESG Report;2021;Capital Goods;United States of America
